firstname,lastname,email,zip,age,sexType,prefersSoftPresents,prefersSuntrip,prefersDog,santaBelief,chocolatePref,candyPref,kallePref,likesFood1,likesFood2,likesFood3,likesFood4,likesFood5,likesFood6,likesFood7,likesFood8,likesFood9,likesFood10,likesFood11,likesFood12,itemID,rating
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,1,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,2,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,3,5
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,4,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,5,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,6,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,7,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,8,3
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,9,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,10,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,11,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,12,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,13,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,14,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,15,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,16,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,17,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,18,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,19,5
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,20,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,21,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,22,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,23,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,24,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,25,3
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,26,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,27,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,28,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,29,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,30,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,31,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,32,3
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,33,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,34,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,35,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,36,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,37,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,38,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,39,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,40,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,41,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,42,6
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,43,3
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,44,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,45,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,46,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,47,2
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,48,4
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,49,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,50,1
Fanny,Funck,Fanny.Funck@ffcg.se,12050,25,female,0,0,1,1,milk,ischoklad,mussepigg,1,1,1,0,0,1,1,0,0,1,0,1,51,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,1,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,2,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,3,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,4,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,5,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,6,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,7,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,8,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,9,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,10,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,11,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,12,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,13,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,14,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,15,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,16,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,17,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,18,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,19,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,20,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,21,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,22,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,23,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,24,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,25,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,26,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,27,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,28,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,29,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,30,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,31,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,32,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,33,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,34,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,35,1
er,er,erl@fe.se,75889,30,female,0,1,1,0,white,kola,kalle-anka,1,0,0,0,0,0,0,0,0,0,0,0,36,1
